rand20	0.88269848	0.36276936	-0.28670601	0.08391339	0.0232815807
rand21	-0.22202891	0.54004787	-0.80866072	0.07154931	0.0233923356
rand22	0.96066737	0.24487354	-0.00367669	-0.13092604	0.0289607456
rand23	-0.52738049	-0.54594913	0.07206346	-0.64700558	0.0525155774
rand24	0.16269384	0.48931687	-0.38377603	-0.76603895	0.0962212563
rand25	0.85236184	-0.38061898	0.30194964	-0.19348103	0.0244900922
rand26	0.05419650	0.66444803	0.58754198	-0.45865671	0.0267860639
rand27	0.30239347	-0.90286766	0.18580378	-0.24262137	0.0266564773
rand28	0.36383329	-0.79145983	0.49092763	-0.01437830	0.0283975417
rand29	-0.09300941	0.18061838	0.96261063	-0.17918434	0.0284788785
rand30	-0.61033180	-0.64854841	0.02115541	-0.45434843	0.0239823229
rand31	-0.09842944	-0.00567527	-0.63562547	0.76567598	0.0979443749
rand32	0.64057445	-0.35102165	0.28848704	0.61905040	0.0459563341
rand33	0.27850732	0.29402544	-0.42564707	0.80920164	0.1259935407
rand34	-0.45574318	0.22004876	-0.31059980	-0.80461449	0.1244821532
rand35	0.53790447	-0.25171998	0.24900064	0.76504544	0.0992000116
rand36	0.56957623	0.46127425	0.67849267	0.04956498	0.0264348015
rand37	0.23349244	0.62208653	0.45069067	0.59612712	0.0406135495
rand38	0.55110890	-0.72605737	0.40801901	0.05138250	0.0284055685
rand39	-0.54734110	0.42695394	0.17205591	-0.69894551	0.0677078750
rand40	-0.11535954	0.89905755	0.22560071	0.35706025	0.0264131964
rand41	0.14029479	-0.50947972	-0.84780139	0.04450392	0.0272384073
rand42	-0.51358799	-0.75074090	-0.09514982	0.40442799	0.0143442725
rand43	0.83602596	0.05684148	0.48749722	-0.24530818	0.0242386114
rand44	-0.22240995	-0.69864823	-0.67128215	0.10864963	0.0274772025
rand45	-0.07471079	-0.40820729	0.71447495	-0.56330333	0.0284647833
rand46	0.11532084	-0.62075904	0.63167369	-0.44983071	0.0170114903
rand47	-0.65175805	-0.18024530	0.35587324	-0.64504054	0.0428624516
